,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,Puncta >50 from Soma Center,0.25,93.22,4.23,0.13,0.45,7244.00,10545.00,5034.33,8780.67,1937.00,7038.00,1937.00,7038.00,2255.66,1431.81,15103.00,26342.00,14.00,72.39,57.43,12.32,0.74,0.01
1,Puncta >50 from Soma Center,0.60,94.15,4.24,0.35,0.23,8230.00,11479.00,6992.83,9255.50,6883.69,9053.50,4916.00,7167.00,1082.91,1649.07,41957.00,55533.00,26.00,72.10,59.18,12.78,0.64,0.02
2,Puncta >50 from Soma Center,0.32,86.42,3.90,0.76,0.12,6341.00,8216.00,3920.00,7774.33,2778.41,7820.68,2525.00,7214.00,1497.76,376.90,23520.00,46646.00,26.00,52.92,66.28,16.58,0.70,0.01
3,Puncta >50 from Soma Center,0.99,86.97,4.23,0.29,0.29,14207.00,15286.00,6584.78,10706.10,5046.54,8161.00,1106.00,7686.00,4287.74,2961.77,59263.00,96355.00,36.00,53.31,66.63,16.83,0.57,0.04
4,Puncta >50 from Soma Center,0.24,87.37,5.24,0.47,0.32,7136.00,9677.00,6049.25,7951.75,5761.81,7081.30,4344.00,7019.00,1115.52,1071.67,24197.00,31807.00,18.00,53.53,66.86,17.25,0.77,0.01
5,Puncta >50 from Soma Center,0.43,87.68,5.91,0.25,0.50,4097.00,15060.00,3001.25,11254.00,2555.28,10135.10,1337.00,7977.00,1138.18,2586.52,12005.00,45016.00,18.00,53.58,67.16,17.52,0.76,0.02
6,Puncta >50 from Soma Center,0.78,88.27,4.90,0.76,0.15,10189.00,12021.00,4970.88,8737.25,4184.63,8485.31,582.00,6789.00,3021.40,1598.46,39767.00,69898.00,34.00,53.65,67.76,17.93,0.58,0.03
7,Puncta >50 from Soma Center,2.01,88.50,5.36,0.40,0.44,7265.00,17332.00,2538.21,9912.26,1797.72,8832.39,663.00,6921.00,1811.72,2821.45,48226.00,188333.00,74.00,53.89,67.69,18.60,0.48,0.09
8,Puncta >50 from Soma Center,1.28,86.92,6.23,0.15,0.70,6384.00,12140.00,3540.00,8719.53,2863.69,8298.36,1405.00,6824.00,1456.47,1307.29,53100.00,130793.00,62.00,53.65,65.90,18.26,0.44,0.04
9,Puncta >50 from Soma Center,2.65,88.12,8.45,0.51,0.28,17682.00,13291.00,5981.56,9909.85,5758.92,9036.18,630.00,8029.00,4066.54,1625.15,161502.00,267566.00,100.00,54.09,67.23,17.89,0.42,0.11
10,Puncta >50 from Soma Center,4.37,87.99,8.02,0.41,0.46,15555.00,31698.00,6040.75,15710.70,5593.58,12805.20,642.00,8333.00,3668.70,6361.69,332241.00,864087.00,160.00,53.90,67.14,18.13,0.58,0.38
11,Puncta >50 from Soma Center,0.15,88.10,8.20,0.13,0.45,5438.00,9925.00,3884.67,8967.00,2276.00,8406.00,2276.00,8406.00,1291.47,680.71,11654.00,26901.00,14.00,54.62,66.50,18.85,0.56,0.00
12,Puncta >50 from Soma Center,1.25,88.49,9.87,0.41,0.23,10094.00,13878.00,3822.86,9328.93,3086.59,8431.95,552.00,7239.00,2502.77,2032.96,53520.00,130605.00,50.00,54.61,67.13,18.49,0.64,0.07
13,Puncta >50 from Soma Center,1.81,92.01,11.89,0.45,0.36,17373.00,14074.00,6526.30,10043.60,5615.52,9728.97,835.00,7453.00,4251.68,1799.73,130526.00,200872.00,68.00,71.25,56.58,13.73,0.59,0.10
14,Puncta >50 from Soma Center,0.29,92.99,0.81,0.09,0.93,5321.00,9948.00,3572.50,8774.75,3325.79,7828.31,635.00,7668.00,1855.01,1030.42,14290.00,35099.00,18.00,71.79,57.52,13.59,0.69,0.01
15,Puncta >50 from Soma Center,1.21,93.27,0.88,0.22,0.57,24057.00,14920.00,8156.53,9504.47,6171.14,8613.33,1277.00,7514.00,5939.47,2090.89,122348.00,142567.00,52.00,71.63,58.15,13.67,0.57,0.05
16,Puncta >50 from Soma Center,0.40,93.57,1.04,0.50,0.23,8740.00,9608.00,5387.20,8487.60,3255.30,7925.73,2938.00,7843.00,2271.16,660.34,26936.00,42438.00,22.00,71.74,58.40,14.12,0.66,0.01
17,Puncta >50 from Soma Center,0.38,93.49,0.80,0.20,0.48,11680.00,10993.00,6908.00,9113.25,5927.40,8572.18,2966.00,7714.00,3133.01,1201.68,27632.00,36453.00,18.00,71.47,58.66,13.87,0.73,0.01
18,Puncta >50 from Soma Center,0.61,92.50,1.02,0.18,0.49,6672.00,12125.00,4864.80,9979.40,4525.99,8695.92,2691.00,8042.00,1294.77,1561.85,24324.00,49897.00,22.00,71.64,56.84,13.86,0.54,0.02
19,Puncta >50 from Soma Center,0.27,92.30,11.23,0.22,0.45,6388.00,10077.00,3944.00,8601.25,3370.89,7973.56,2097.00,7957.00,1557.03,869.70,15776.00,34405.00,18.00,71.23,56.88,14.49,0.71,0.01
20,Puncta >50 from Soma Center,1.23,91.42,11.49,0.22,0.59,5843.00,13335.00,3186.18,9906.91,2548.80,9623.99,732.00,7612.00,1780.96,1662.14,35048.00,108976.00,46.00,69.85,56.84,15.72,0.49,0.04
21,Puncta >50 from Soma Center,0.49,91.66,11.69,0.09,0.93,7017.00,16203.00,3411.50,11329.30,2614.94,9840.68,614.00,8592.00,2314.44,2909.31,13646.00,45317.00,18.00,69.90,57.16,15.80,0.68,0.02
22,Puncta >50 from Soma Center,3.45,92.18,12.78,0.26,0.56,14930.00,33457.00,5603.06,14719.00,5012.98,13420.60,747.00,7938.00,3272.41,6154.09,291359.00,765387.00,124.00,70.91,56.83,15.49,0.68,0.34
23,Puncta >50 from Soma Center,0.33,92.67,13.31,0.02,0.99,7350.00,11753.00,6164.33,9926.67,3885.00,8878.00,3885.00,8878.00,1612.17,1296.14,18493.00,29780.00,14.00,70.86,57.72,15.31,0.45,0.01
24,Puncta >50 from Soma Center,1.50,92.84,13.06,0.16,0.68,9362.00,17629.00,3971.53,10334.50,2791.11,9143.53,909.00,7755.00,2586.50,2603.78,67516.00,175687.00,62.00,71.14,57.44,16.08,0.56,0.07
25,Puncta >50 from Soma Center,0.27,92.52,13.04,0.39,0.47,14791.00,12644.00,9208.33,10481.30,3878.00,8756.00,3878.00,8756.00,4458.79,1617.11,27625.00,31444.00,14.00,70.72,57.44,16.13,0.70,0.01
26,Puncta >50 from Soma Center,0.72,92.05,13.92,0.08,0.57,8851.00,14175.00,5323.50,10397.80,3961.53,9222.00,3742.00,8079.00,1810.37,2127.08,31941.00,62387.00,26.00,70.69,56.84,15.63,0.61,0.03
27,Puncta >50 from Soma Center,0.22,93.16,14.25,0.13,0.45,3499.00,9783.00,2086.00,8886.00,1226.00,8114.00,1226.00,8114.00,1006.97,687.08,6258.00,26658.00,14.00,70.92,57.92,17.20,0.64,0.00
28,Puncta >50 from Soma Center,1.92,93.52,13.68,0.49,0.36,10956.00,13533.00,5495.00,9621.79,4585.58,8599.50,1419.00,7461.00,2628.38,1736.01,104405.00,182814.00,76.00,70.77,58.26,18.51,0.46,0.08
29,Puncta >50 from Soma Center,0.20,93.19,0.04,0.39,0.47,5903.00,10347.00,3653.00,9332.00,1628.00,8528.00,1628.00,8528.00,1752.50,757.44,10959.00,27996.00,14.00,70.75,57.61,18.98,0.75,0.01
30,Puncta >50 from Soma Center,0.31,92.22,0.87,0.18,0.31,4662.00,10534.00,2518.75,8359.00,884.64,7288.12,747.00,6791.00,1729.60,1459.80,10075.00,33436.00,16.00,53.95,72.89,16.80,0.54,0.01
31,Puncta >50 from Soma Center,0.42,91.90,0.80,0.16,0.55,14009.00,10992.00,8198.40,8922.80,4713.21,8492.72,4052.00,7974.00,3836.94,1058.80,40992.00,44614.00,22.00,53.97,72.30,17.48,0.67,0.01
