,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,Puncta 40-50 from Soma Center,1.34,104.62,32.58,0.39,0.48,7228,17883.00,4306.45,12522.40,3566.98,11197.60,674.00,10506.00,1959.05,2094.78,47371.00,137746.00,46.00,66.88,80.35,3.86,0.52,0.05
1,Puncta 40-50 from Soma Center,3.77,104.96,32.78,0.15,0.59,14914,26315.00,5264.05,14341.50,4914.03,14073.30,1001.00,8709.00,2735.03,3567.54,221090.00,602342.00,120.00,66.98,80.69,4.37,0.52,0.26
2,Puncta 30-40 from Soma Center,0.55,104.23,32.86,0.16,0.55,10664,19704.00,4931.20,12956.80,3007.06,11193.50,560.00,9710.00,3576.71,3493.56,24656.00,64784.00,22.00,66.18,80.42,3.97,0.69,0.02
3,Puncta 30-40 from Soma Center,2.79,104.25,33.34,0.30,0.44,8332,22405.00,4382.39,13339.90,3865.71,12449.60,1141.00,8554.00,2168.12,3418.24,135854.00,413536.00,102.00,66.53,80.15,4.35,0.55,0.18
4,Puncta 40-50 from Soma Center,2.33,104.05,32.55,0.36,0.51,8216,18207.00,4647.26,13417.30,4646.66,11631.50,2042.00,10075.00,1544.49,2757.31,106887.00,308597.00,86.00,66.40,79.94,5.23,0.48,0.11
5,Puncta 40-50 from Soma Center,0.52,105.51,33.17,0.50,0.10,6246,14687.00,4468.20,12711.00,3959.71,11766.70,3511.00,11127.00,958.91,1262.25,22341.00,63555.00,22.00,66.28,81.98,4.36,0.58,0.02
6,Puncta 30-40 from Soma Center,1.30,105.84,32.90,0.20,0.45,6767,17829.00,2923.30,12724.60,2329.79,11220.40,1030.00,9370.00,1635.06,2879.72,29233.00,127246.00,40.00,66.68,82.04,5.13,0.47,0.05
7,Puncta 40-50 from Soma Center,0.32,105.72,32.73,0.13,0.45,4880,13628.00,3872.00,11550.70,3036.00,9556.00,3036.00,9556.00,762.57,1663.41,11616.00,34652.00,14.00,65.92,82.54,4.30,0.59,0.01
8,Puncta 40-50 from Soma Center,8.58,107.19,32.43,0.46,0.40,11614,31647.00,4003.81,13489.90,3542.48,12869.70,623.00,7850.00,2363.85,3632.63,416396.00,1402950.00,312.00,67.34,83.27,4.74,0.42,0.65
9,Puncta 40-50 from Soma Center,2.77,106.96,31.09,0.45,0.41,11065,17316.00,4133.39,11560.50,3713.63,10876.90,1160.00,8003.00,2392.13,2258.56,115735.00,323693.00,98.00,67.38,82.91,5.19,0.49,0.15
10,Puncta 40-50 from Soma Center,0.22,106.69,32.03,0.22,0.61,1610,10845.00,1007.75,9713.25,720.33,8961.26,499.00,8643.00,430.16,928.99,4031.00,38853.00,18.00,67.25,82.65,5.53,0.74,0.01
11,Puncta 40-50 from Soma Center,0.98,104.90,31.60,0.29,0.49,9408,18177.00,4756.00,12368.60,4265.75,12529.00,573.00,8341.00,2748.58,2697.53,38048.00,98949.00,34.00,67.27,80.36,4.74,0.55,0.04
12,Puncta 40-50 from Soma Center,0.42,105.42,30.96,0.17,0.86,3051,11984.00,2377.60,9735.60,2255.32,8735.77,1054.00,8562.00,709.71,1335.36,11888.00,48678.00,20.00,66.92,81.32,4.84,0.65,0.01
13,Puncta 40-50 from Soma Center,0.46,103.76,30.32,0.20,0.46,7520,11816.00,3352.33,9084.17,2622.61,7912.64,669.00,7635.00,2097.13,1590.83,20114.00,54505.00,26.00,66.32,79.66,4.93,0.64,0.02
14,Puncta 40-50 from Soma Center,0.43,104.09,30.61,0.15,0.35,3363,11532.00,1843.25,9736.25,1156.57,8948.75,686.00,8033.00,1025.98,1341.53,7373.00,38945.00,18.00,66.69,79.76,5.10,0.57,0.01
15,Puncta 40-50 from Soma Center,0.19,104.43,32.33,0.42,0.15,11173,9006.00,6145.50,8637.25,3284.34,8510.33,2035.00,8393.00,3673.17,229.99,24582.00,34549.00,18.00,66.89,80.00,5.60,0.50,0.00
16,Puncta 40-50 from Soma Center,0.27,104.46,32.33,0.39,0.47,5105,12993.00,2329.00,11255.00,855.00,8711.00,855.00,8711.00,1964.18,1838.68,6987.00,33765.00,14.00,66.73,80.15,5.92,0.79,0.01
17,Puncta 40-50 from Soma Center,1.49,106.25,33.83,0.47,0.40,8514,20502.00,2825.44,13199.60,2073.66,11674.80,881.00,9315.00,1961.03,3483.18,45207.00,211194.00,54.00,67.36,81.95,5.92,0.70,0.10
18,Puncta 40-50 from Soma Center,0.38,107.51,35.15,0.15,0.35,4373,17417.00,3213.25,10650.30,3313.00,8155.75,1324.00,7857.00,1153.00,3934.78,12853.00,42601.00,18.00,71.66,80.10,2.76,0.65,0.01
19,Puncta 40-50 from Soma Center,1.95,106.02,35.30,0.36,0.52,7107,22357.00,2948.17,12186.90,2295.40,10725.70,520.00,8110.00,2040.57,3940.46,53067.00,219365.00,66.00,70.49,79.09,4.07,0.58,0.11
20,Puncta 40-50 from Soma Center,0.23,107.31,35.54,0.00,1.92,3041,11673.00,2610.33,10046.70,2121.00,8097.00,2121.00,8097.00,377.87,1477.69,7831.00,30140.00,14.00,72.11,79.37,4.00,0.73,0.01
21,Puncta 40-50 from Soma Center,0.49,107.20,35.70,0.09,0.93,5191,13646.00,2867.50,11123.30,1938.22,10588.50,738.00,9548.00,1682.64,1524.75,11470.00,44493.00,18.00,72.19,79.13,4.44,0.66,0.02
22,Puncta 30-40 from Soma Center,2.56,106.81,41.53,0.28,0.68,7037,21005.00,3331.44,11983.30,2885.56,11510.30,711.00,7795.00,1856.53,3299.64,106606.00,383464.00,104.00,70.94,79.76,3.84,0.59,0.17
23,Puncta 40-50 from Soma Center,2.07,106.75,34.13,0.42,0.30,8844,20610.00,3663.14,11677.50,3379.64,11064.80,711.00,8748.00,2136.65,2658.37,80589.00,256906.00,70.00,71.70,78.98,4.23,0.60,0.13
24,Puncta 30-40 from Soma Center,0.41,105.28,37.49,0.39,0.47,3890,15065.00,2765.67,13616.70,1623.00,12848.00,1623.00,12848.00,925.59,1024.77,8297.00,40850.00,14.00,68.90,79.48,4.39,0.74,0.02
25,Puncta 30-40 from Soma Center,0.13,105.53,37.89,0.39,0.47,5587,9821.00,3292.33,8828.33,563.00,8182.00,563.00,8182.00,2073.94,712.53,9877.00,26485.00,14.00,68.85,79.84,4.61,0.78,0.00
26,Puncta 30-40 from Soma Center,0.90,106.03,38.10,0.27,0.36,5105,14356.00,2453.11,10674.10,1742.09,10673.90,757.00,8390.00,1293.44,1739.45,22078.00,96067.00,36.00,69.99,79.52,4.35,0.60,0.04
27,Puncta 30-40 from Soma Center,0.45,106.25,38.62,0.28,0.13,4915,13480.00,3917.20,10070.60,3365.67,8553.43,3183.00,8203.00,700.46,1996.67,19586.00,50353.00,22.00,70.31,79.56,4.10,0.65,0.01
28,Puncta 40-50 from Soma Center,0.25,105.43,36.16,0.25,0.50,3857,11139.00,2644.50,9149.50,2233.38,8322.98,2181.00,7935.00,701.42,1235.06,10578.00,36598.00,18.00,68.05,80.40,4.44,0.70,0.01
29,Puncta 30-40 from Soma Center,7.32,105.36,41.15,0.23,0.56,12541,34576.00,4756.97,16211.00,4288.38,15056.30,605.00,8818.00,2825.56,5130.93,413856.00,1410360.00,242.00,67.80,80.50,4.87,0.47,0.59
30,Puncta 40-50 from Soma Center,1.61,105.35,33.71,0.18,0.60,8061,16683.00,3746.44,12490.80,2583.00,12333.20,757.00,8247.00,2536.70,2283.10,59943.00,199853.00,60.00,68.31,79.99,5.93,0.58,0.08
31,Puncta 30-40 from Soma Center,2.95,105.47,36.09,0.25,0.68,11111,20032.00,4609.64,13150.40,4565.73,11898.10,506.00,10069.00,2505.46,2724.08,165947.00,473415.00,104.00,67.60,80.84,4.27,0.53,0.18
32,Puncta 30-40 from Soma Center,0.69,104.77,36.24,0.31,0.47,13627,14726.00,6117.50,12562.90,2534.70,12227.60,1893.00,11231.00,4276.18,1063.95,48940.00,100503.00,32.00,69.25,78.47,4.79,0.55,0.02
33,Puncta 30-40 from Soma Center,0.75,104.49,36.33,0.13,0.87,12631,16521.00,6599.33,13077.70,4648.19,11855.20,2413.00,10806.00,3869.88,2052.03,39596.00,78466.00,26.00,68.24,79.02,4.03,0.65,0.03
34,Puncta 30-40 from Soma Center,0.35,104.53,36.28,0.20,0.48,8193,13781.00,4749.25,11058.00,2449.52,9649.00,2427.00,9649.00,2444.29,1686.22,18997.00,44232.00,18.00,68.44,78.88,4.60,0.66,0.01
35,Puncta 20-30 from Soma Center,7.52,106.94,45.05,0.22,0.63,15374,56184.00,6896.84,23371.90,5805.16,20500.70,1132.00,10048.00,3641.96,8909.50,648303.00,2196960.00,240.00,71.48,79.42,4.42,0.48,0.64
36,Puncta 30-40 from Soma Center,7.53,106.18,41.45,0.36,0.47,17941,39419.00,6098.66,18581.80,5192.98,17089.20,582.00,10104.00,3634.87,5962.51,536682.00,1635200.00,234.00,69.23,80.36,4.96,0.47,0.62
37,Puncta 30-40 from Soma Center,3.27,106.50,36.88,0.29,0.63,6463,28518.00,3254.23,12137.70,3056.37,11254.90,610.00,7672.00,1528.95,4073.93,139932.00,521921.00,124.00,68.72,81.23,4.71,0.58,0.24
38,Puncta 30-40 from Soma Center,0.21,106.39,37.28,0.39,0.47,8105,9902.00,6424.33,9380.67,3284.00,8839.00,3284.00,8839.00,2222.38,434.20,19273.00,28142.00,14.00,68.28,81.43,5.01,0.69,0.01
39,Puncta 30-40 from Soma Center,0.19,106.28,34.03,0.13,0.45,9320,11227.00,6664.67,10809.30,3768.00,10554.00,3768.00,10554.00,2273.01,297.78,19994.00,32428.00,14.00,68.38,81.15,5.88,0.55,0.00
40,Puncta 30-40 from Soma Center,0.31,106.36,33.64,0.15,0.62,7171,11911.00,3407.40,10888.00,1637.48,10240.20,790.00,9993.00,2203.79,776.47,17037.00,54440.00,22.00,67.98,81.64,4.97,0.68,0.01
41,Puncta 30-40 from Soma Center,1.32,104.31,36.99,0.39,0.32,9011,20158.00,5713.27,13933.90,5799.75,12782.60,1671.00,11124.00,2308.21,2431.59,62846.00,153273.00,44.00,67.80,79.08,5.36,0.55,0.06
42,Puncta 30-40 from Soma Center,0.14,104.65,38.35,0.13,0.45,12496,10233.00,6396.33,9776.33,1141.00,9270.00,1141.00,9270.00,4673.95,394.72,19189.00,29329.00,14.00,67.69,79.63,5.33,0.67,0.00
43,Puncta 30-40 from Soma Center,1.07,104.55,38.41,0.19,0.47,6360,20107.00,3142.50,11386.70,2749.34,9523.80,758.00,8276.00,1769.94,3399.94,31425.00,113867.00,40.00,67.08,80.03,5.06,0.57,0.04
44,Puncta 30-40 from Soma Center,2.01,104.53,40.65,0.24,0.53,16926,19210.00,6456.33,12099.30,5415.21,11552.90,735.00,8893.00,3803.88,2598.37,135583.00,254085.00,78.00,67.18,79.89,5.50,0.47,0.09
45,Puncta 30-40 from Soma Center,0.60,107.02,37.64,0.19,0.50,4436,17778.00,2272.40,10708.20,1045.72,8030.00,695.00,8030.00,1368.11,3780.04,11362.00,53541.00,20.00,67.85,82.61,5.10,0.62,0.02
46,Puncta 30-40 from Soma Center,0.85,105.88,37.54,0.25,0.55,9932,16589.00,4640.88,11655.90,3864.47,10946.90,2500.00,8865.00,2176.74,2371.36,37127.00,93247.00,32.00,68.12,80.88,5.36,0.61,0.04
47,Puncta 30-40 from Soma Center,0.61,103.76,37.93,0.14,0.58,5058,18382.00,3485.20,12536.40,2706.91,9122.72,2122.00,8707.00,1080.53,3506.72,17426.00,62682.00,22.00,68.25,77.96,5.53,0.67,0.02
48,Puncta 30-40 from Soma Center,0.78,104.60,39.74,0.29,0.47,6201,13956.00,3455.63,10511.60,2866.35,9291.69,832.00,8553.00,2241.05,1910.10,27645.00,84093.00,28.00,69.57,77.90,5.77,0.65,0.03
49,Puncta 30-40 from Soma Center,2.81,104.54,39.77,0.45,0.40,14633,24651.00,4721.26,12733.30,4042.06,11160.60,729.00,9570.00,2826.37,3331.02,146359.00,394733.00,100.00,69.66,77.64,6.94,0.54,0.17
50,Puncta 30-40 from Soma Center,1.18,104.21,38.84,0.48,0.36,6839,17308.00,3137.36,11361.10,1833.53,9577.45,879.00,7973.00,2074.49,2614.72,34511.00,124972.00,44.00,68.36,78.52,4.69,0.58,0.05
51,Puncta 40-50 from Soma Center,0.55,104.12,33.61,0.57,0.20,5108,13355.00,3663.67,11177.20,3168.08,10232.00,2318.00,9455.00,1005.10,1441.92,21982.00,67063.00,26.00,68.12,78.53,5.89,0.58,0.02
52,Puncta 40-50 from Soma Center,0.54,103.86,33.98,0.40,0.25,4266,17237.00,2471.60,12294.20,1509.68,9667.88,1477.00,9230.00,1100.53,2964.79,12358.00,61471.00,22.00,68.27,77.98,6.72,0.61,0.02
53,Puncta 30-40 from Soma Center,12.79,105.66,34.37,0.40,0.48,19133,44497.00,4561.04,14932.40,4130.41,13682.20,489.00,8144.00,2722.29,5092.57,706961.00,2314520.00,448.00,69.52,79.45,4.51,0.37,0.96
54,Puncta 30-40 from Soma Center,3.10,105.69,35.07,0.51,0.32,8935,25266.00,2996.94,13595.80,2442.77,12301.70,541.00,9155.00,1939.44,3788.13,104893.00,475852.00,114.00,69.35,79.55,5.75,0.57,0.22
55,Puncta 30-40 from Soma Center,0.26,105.49,36.78,0.35,0.00,8134,12759.00,5935.00,10424.00,5050.47,9918.65,3890.00,8674.00,1605.17,1480.60,23740.00,41696.00,18.00,68.99,79.55,6.32,0.64,0.01
56,Puncta 30-40 from Soma Center,4.07,102.98,36.51,0.52,0.34,8764,22148.00,3965.58,13158.30,3865.61,12442.80,568.00,8345.00,2183.09,2960.92,178451.00,592123.00,152.00,69.10,76.16,5.53,0.48,0.26
57,Puncta 30-40 from Soma Center,0.38,102.84,36.38,0.13,0.45,9172,15837.00,6318.33,13668.30,4112.00,11858.00,4112.00,11858.00,2115.84,1644.06,18955.00,41005.00,14.00,69.03,75.98,6.26,0.69,0.01
58,Puncta 30-40 from Soma Center,0.25,103.09,37.82,0.13,0.45,4801,13871.00,3531.00,11001.70,1440.00,9309.00,1440.00,9309.00,1489.88,2039.83,10593.00,33005.00,14.00,69.30,76.08,6.00,0.65,0.01
59,Puncta 30-40 from Soma Center,1.49,103.23,38.72,0.41,0.39,11688,18484.00,5805.31,13700.40,5317.10,13104.50,1863.00,9303.00,2402.52,2909.58,75469.00,178105.00,50.00,69.19,76.37,6.07,0.56,0.07
60,Puncta 30-40 from Soma Center,0.14,103.31,38.63,0.13,0.45,2624,9727.00,1830.33,9152.00,1083.00,8840.00,1083.00,8840.00,629.96,407.08,5491.00,27456.00,14.00,69.54,76.13,6.33,0.54,0.00
61,Puncta 30-40 from Soma Center,1.93,103.37,39.23,0.62,0.25,10930,16772.00,3617.58,11605.90,2989.45,10613.30,1014.00,8603.00,2095.23,2276.33,68734.00,220512.00,74.00,69.16,76.51,6.96,0.49,0.09
62,Puncta 30-40 from Soma Center,3.39,103.24,39.88,0.60,0.27,9889,24359.00,3681.85,12008.60,2863.35,10733.80,570.00,8576.00,2578.26,3583.43,143592.00,468336.00,128.00,68.46,77.01,6.46,0.54,0.23
63,Puncta 30-40 from Soma Center,0.13,103.23,41.16,0.39,0.47,2408,10133.00,1413.67,9265.67,649.00,8717.00,649.00,8717.00,736.24,620.44,4241.00,27797.00,14.00,68.76,76.70,6.78,0.79,0.00
64,Puncta 30-40 from Soma Center,0.87,104.79,41.78,0.75,0.08,8296,19832.00,5367.14,12502.60,4785.84,9722.89,2345.00,8725.00,1811.24,3483.01,37570.00,87518.00,30.00,70.33,77.42,6.42,0.64,0.04
65,Puncta 30-40 from Soma Center,0.27,104.99,41.25,0.13,0.45,7275,11897.00,5411.33,11215.30,2395.00,10745.00,2395.00,10745.00,2152.53,493.48,16234.00,33646.00,14.00,70.10,77.91,6.28,0.62,0.01
66,Puncta 30-40 from Soma Center,0.27,103.59,41.65,0.18,0.31,7651,12527.00,4213.25,10580.80,3926.30,10022.00,983.00,9702.00,2362.71,1132.51,16853.00,42323.00,16.00,68.39,77.55,6.16,0.60,0.01
67,Puncta 30-40 from Soma Center,0.57,105.26,43.74,0.04,0.53,10368,16343.00,7434.25,13305.30,6532.27,11856.80,4659.00,9891.00,2101.17,2557.16,29737.00,53221.00,18.00,69.67,78.71,5.45,0.57,0.02
68,Puncta 30-40 from Soma Center,2.48,105.47,43.23,0.66,0.18,11151,27135.00,3997.37,13046.50,2709.98,11562.50,861.00,9258.00,2561.61,4319.74,119921.00,391394.00,104.00,69.61,78.91,7.15,0.58,0.16
69,Puncta 30-40 from Soma Center,0.29,78.94,42.22,0.13,0.45,7778,12151.00,3794.67,10904.30,1745.00,9418.00,1745.00,9418.00,2817.04,1128.54,11384.00,32713.00,14.00,58.89,52.06,7.28,0.65,0.01
70,Puncta 30-40 from Soma Center,0.20,79.25,42.58,0.00,1.99,5755,10911.00,2917.67,10308.70,711.00,9595.00,711.00,9595.00,2106.94,542.98,8753.00,30926.00,14.00,58.89,52.55,7.09,0.50,0.00
71,Puncta 30-40 from Soma Center,3.81,82.14,42.49,0.62,0.25,13214,31566.00,5423.39,14644.40,5352.13,13028.40,635.00,9995.00,3304.91,4313.09,238629.00,644355.00,132.00,61.18,54.34,7.09,0.56,0.29
72,Puncta 30-40 from Soma Center,0.07,82.13,42.60,0.39,0.47,5336,9683.00,3544.33,9015.33,921.00,8606.00,921.00,8606.00,1895.93,476.12,10633.00,27046.00,14.00,60.10,55.52,7.14,0.80,0.00
73,Puncta 30-40 from Soma Center,0.21,81.95,41.20,0.13,0.45,8425,10333.00,5701.00,10204.30,2272.00,10135.00,2272.00,10135.00,2560.94,91.09,17103.00,30613.00,14.00,59.81,55.52,7.44,0.54,0.00
74,Puncta 30-40 from Soma Center,3.51,78.30,40.57,0.37,0.37,11252,37034.00,4409.59,15708.00,4020.46,13968.90,551.00,8509.00,2714.02,4986.24,202841.00,722567.00,122.00,58.53,51.46,7.55,0.59,0.28
75,Puncta 30-40 from Soma Center,0.64,79.95,40.98,0.16,0.55,9082,16630.00,7602.20,15588.80,6378.11,14523.70,5964.00,13731.00,1216.50,1217.97,38011.00,77944.00,22.00,58.60,53.85,7.64,0.67,0.03
76,Puncta 30-40 from Soma Center,0.22,80.97,34.41,0.13,0.45,3581,11162.00,3272.67,10731.00,2867.00,10375.00,2867.00,10375.00,299.50,325.64,9818.00,32193.00,14.00,59.68,54.22,7.42,0.60,0.00
77,Puncta 30-40 from Soma Center,1.08,81.62,34.21,0.43,0.43,7577,14466.00,3799.17,11282.00,3158.27,10524.30,1560.00,9127.00,1794.34,1615.77,45590.00,135384.00,46.00,59.37,55.55,7.22,0.59,0.05
78,Puncta 30-40 from Soma Center,0.49,81.44,42.87,0.07,0.47,6901,13397.00,5493.40,10694.20,4391.16,9524.47,4058.00,9463.00,1092.60,1435.52,27467.00,53471.00,22.00,59.38,55.21,7.66,0.62,0.02
79,Puncta 30-40 from Soma Center,3.54,83.05,45.18,0.56,0.30,11818,22524.00,4696.97,14728.60,3906.00,14414.60,810.00,9549.00,2565.23,3423.88,173788.00,544957.00,126.00,61.36,55.50,7.26,0.50,0.22
80,Puncta 30-40 from Soma Center,1.01,84.64,43.38,0.53,0.29,7673,13525.00,4595.40,11164.30,4427.08,10372.20,631.00,9343.00,2095.16,1593.23,45954.00,111643.00,40.00,61.51,57.59,7.91,0.58,0.04
81,Puncta 30-40 from Soma Center,5.80,79.52,45.32,0.64,0.22,11787,42720.00,4605.53,15320.50,4403.15,13917.20,602.00,9204.00,2870.91,5284.25,313176.00,1041790.00,204.00,59.49,52.19,7.81,0.48,0.43
82,Puncta 30-40 from Soma Center,5.28,79.04,44.13,0.34,0.50,12507,25527.00,4386.14,13229.30,3900.87,12244.70,662.00,8694.00,2831.94,3619.39,276327.00,833449.00,188.00,59.15,51.86,7.68,0.47,0.37
83,Puncta 30-40 from Soma Center,0.27,80.20,44.91,0.13,0.45,5809,11945.00,4605.00,11331.00,3340.00,10367.00,3340.00,10367.00,1008.89,690.12,13815.00,33993.00,14.00,58.26,54.49,8.32,0.55,0.01
84,Puncta 30-40 from Soma Center,0.29,80.53,41.51,0.14,0.00,6216,10657.00,3173.33,10201.70,1367.00,9797.00,1367.00,9797.00,2164.04,352.91,9520.00,30605.00,14.00,58.42,54.67,9.16,0.65,0.01
85,Puncta 30-40 from Soma Center,2.17,83.68,43.38,0.36,0.31,10132,19063.00,4701.29,12069.20,4145.00,10255.90,1169.00,8428.00,2309.62,3223.70,98727.00,253453.00,80.00,62.28,55.32,7.96,0.47,0.10
