,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,40-50 microns from soma center,3.56,92.21,37.20,0.34,0.55,18481.00,14692.00,7563.33,10525.80,6526.23,9808.55,3102.00,8346.00,2873.34,1579.23,325223.00,452609.00,134.00,59.23,70.08,9.09,0.53,0.25
1,40-50 microns from soma center,0.51,92.99,37.79,0.33,0.48,7123.00,11161.00,4946.67,9752.33,4274.30,9414.78,4097.00,8220.00,1058.08,1137.54,29680.00,58514.00,22.00,59.58,70.69,10.02,0.76,0.02
2,40-50 microns from soma center,0.28,93.96,37.96,0.13,0.45,7970.00,10842.00,6710.00,9722.33,4983.00,9064.00,4983.00,9064.00,1263.36,795.80,20130.00,29167.00,14.00,60.41,71.26,10.06,0.55,0.01
3,40-50 microns from soma center,3.21,93.51,37.13,0.11,0.82,17338.00,15574.00,8433.23,10614.20,7267.75,9974.27,3095.00,8715.00,3477.01,1646.80,261430.00,329039.00,112.00,60.17,70.88,9.95,0.45,0.17
4,40-50 microns from soma center,0.28,93.71,37.24,0.13,0.45,10153.00,13440.00,9296.33,10782.30,7994.00,8683.00,7994.00,8683.00,936.05,1981.76,27889.00,32347.00,14.00,60.23,70.99,10.73,0.67,0.01
5,40-50 microns from soma center,2.23,93.97,37.55,0.37,0.50,13118.00,16649.00,7426.05,11425.30,7171.55,10726.10,3233.00,8497.00,2827.53,2434.30,148521.00,228506.00,78.00,59.90,71.64,10.47,0.50,0.11
6,40-50 microns from soma center,4.61,94.27,37.80,0.29,0.59,12324.00,17794.00,5991.47,11566.10,5407.38,11055.20,2089.00,8367.00,2509.90,2314.94,281599.00,543607.00,156.00,60.91,71.04,11.36,0.46,0.29
7,40-50 microns from soma center,6.44,93.22,37.30,0.27,0.46,11008.00,17321.00,5098.40,9955.77,5096.75,9365.48,1550.00,6069.00,2025.16,2447.77,479250.00,935842.00,224.00,59.25,71.13,10.96,0.54,0.60
8,40-50 microns from soma center,0.33,93.80,38.07,0.39,0.47,3846.00,12029.00,3027.33,9244.67,1893.00,6989.00,1893.00,6989.00,827.96,2091.25,9082.00,27734.00,14.00,59.99,71.24,11.17,0.73,0.01
