,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,> 50 microns from soma center,1.74,189.79,52.48,0.58,0.27,9068.00,16615.00,5159.54,9170.31,3934.63,7483.50,1292.00,6179.00,2569.92,3074.06,67074.00,119214.00,48.00,135.17,132.34,15.30,0.68,0.12
1,> 50 microns from soma center,0.31,189.46,50.45,0.39,0.44,7848.00,9545.00,5721.00,7496.67,3084.00,5892.00,3084.00,5892.00,1978.05,1523.97,17163.00,22490.00,14.00,134.37,132.68,15.36,0.82,0.01
2,> 50 microns from soma center,0.41,188.66,51.80,0.06,0.97,3979.00,10473.00,3615.75,7572.75,3690.77,6488.94,3033.00,5837.00,352.80,1774.22,14463.00,30291.00,18.00,132.75,133.12,15.73,0.71,0.01
3,> 50 microns from soma center,0.23,188.75,54.70,0.39,0.44,6257.00,6748.00,5024.33,6257.00,4157.00,5813.00,4157.00,5813.00,895.40,383.16,15073.00,18771.00,14.00,132.46,133.45,16.55,0.64,0.01
4,> 50 microns from soma center,2.91,189.13,53.29,0.40,0.41,5046.00,15823.00,2581.96,8469.20,1971.33,7663.06,624.00,5780.00,1368.48,2160.76,64549.00,211730.00,88.00,132.60,133.78,17.03,0.67,0.26
5,> 50 microns from soma center,0.52,189.77,55.35,0.51,0.30,5759.00,8158.00,2617.80,6952.80,812.71,6341.23,694.00,6212.00,1849.01,800.16,13089.00,34764.00,22.00,134.58,132.79,16.37,0.77,0.02
6,> 50 microns from soma center,2.25,191.44,52.05,0.39,0.46,7996.00,11976.00,3893.82,7968.45,3242.78,7391.90,753.00,6019.00,1858.27,1526.53,85664.00,175306.00,78.00,135.99,133.82,15.80,0.67,0.17
7,> 50 microns from soma center,1.13,191.75,54.18,0.25,0.74,6427.00,16770.00,4285.11,9398.67,4450.54,7764.61,1264.00,6790.00,1371.32,2954.94,38566.00,84588.00,34.00,136.31,133.88,16.26,0.78,0.08
8,> 50 microns from soma center,0.33,189.74,54.65,0.10,0.94,8037.00,7918.00,5101.33,6959.67,1381.00,6159.00,1381.00,6159.00,2773.37,726.71,15304.00,20879.00,14.00,132.91,134.44,16.14,0.73,0.01
