,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,Puncta >50 from Soma Center,0.31,88.31,14.35,0.34,0.18,9537.00,13399.00,6533.00,11081.30,6043.32,10680.30,2206.00,9422.00,2792.07,1444.89,26132.00,44325.00,18.00,57.98,66.62,0.38,0.62,0.01
1,Puncta >50 from Soma Center,0.43,89.04,14.74,0.15,0.57,13979.00,10774.00,7792.00,10053.20,5880.25,9586.71,4059.00,8943.00,3353.33,690.68,38960.00,50266.00,22.00,59.20,66.51,0.63,0.51,0.01
2,Puncta >50 from Soma Center,0.42,88.92,15.16,0.20,0.48,9202.00,11784.00,6981.00,10349.00,6103.52,9312.82,5478.00,8605.00,1411.18,1412.72,27924.00,41396.00,18.00,58.55,66.92,0.76,0.62,0.01
3,Puncta >50 from Soma Center,0.33,88.83,15.52,0.20,0.48,13367.00,13088.00,7135.00,10471.00,3089.07,8866.33,2358.00,8327.00,4597.34,1955.25,28540.00,41884.00,18.00,57.73,67.41,3.61,0.68,0.01
4,Puncta >50 from Soma Center,0.34,89.17,16.83,0.13,0.45,5804.00,15009.00,3381.33,12359.00,586.00,8784.00,586.00,8784.00,2146.48,2624.17,10144.00,37077.00,14.00,58.73,66.98,4.06,0.66,0.01
5,Puncta >50 from Soma Center,0.18,88.29,16.66,0.34,0.18,6054.00,10999.00,5277.50,9298.00,5068.64,8650.47,4143.00,8555.00,750.22,994.67,21110.00,37192.00,18.00,57.02,67.24,4.72,0.66,0.00
6,Puncta >50 from Soma Center,3.13,88.45,1.33,0.36,0.54,11528.00,28972.00,5447.51,13051.50,4949.80,11658.40,733.00,9273.00,2696.91,4125.67,190663.00,456804.00,120.00,57.12,67.32,5.35,0.49,0.18
7,Puncta >50 from Soma Center,0.70,88.33,3.55,0.62,0.13,9478.00,15053.00,5515.29,11082.40,3363.45,9420.63,2521.00,9020.00,2612.78,2280.52,38607.00,77577.00,30.00,56.80,67.45,5.13,0.60,0.03
8,Puncta >50 from Soma Center,0.34,88.85,3.79,0.13,0.45,6844.00,17358.00,4540.00,13076.30,1180.00,9833.00,1180.00,9833.00,2429.89,3158.59,13620.00,39229.00,14.00,57.97,67.23,3.81,0.65,0.01
9,Puncta >50 from Soma Center,7.50,88.76,3.56,0.49,0.35,19597.00,33558.00,8219.25,15482.20,7412.31,14346.30,577.00,10026.00,4326.23,4561.82,904118.00,1703040.00,280.00,57.87,67.12,4.99,0.50,0.69
10,Puncta >50 from Soma Center,0.37,87.37,4.98,0.20,0.48,11810.00,16317.00,8371.25,12513.30,7327.19,10800.70,3671.00,9326.00,3174.02,2678.53,33485.00,50053.00,18.00,56.87,66.13,5.13,0.69,0.01
11,Puncta >50 from Soma Center,0.25,88.41,5.29,0.42,0.15,9792.00,11305.00,7229.75,10444.50,5685.61,10352.60,5161.00,9499.00,1887.02,646.50,28919.00,41778.00,18.00,57.39,67.09,4.72,0.62,0.01
12,Puncta >50 from Soma Center,0.16,88.28,1.76,0.13,0.45,7002.00,8879.00,5011.67,8790.00,1405.00,8727.00,1405.00,8727.00,2554.86,64.75,15035.00,26370.00,14.00,57.35,66.92,5.06,0.44,0.00
13,Puncta >50 from Soma Center,0.52,86.62,3.25,0.07,0.41,15775.00,19832.00,10737.50,14984.50,8795.57,11618.70,5076.00,10769.00,4112.89,3862.22,42950.00,59938.00,18.00,54.54,67.02,6.06,0.68,0.02
14,Puncta >50 from Soma Center,0.37,86.50,5.01,0.46,0.21,11148.00,12226.00,7538.60,11315.00,6861.19,10525.00,3527.00,10498.00,2455.73,754.10,37693.00,56575.00,22.00,54.85,66.62,6.01,0.68,0.01
15,Puncta >50 from Soma Center,3.30,86.75,2.04,0.14,0.67,17646.00,26071.00,8786.84,14245.20,7550.16,12914.40,1184.00,9721.00,4218.88,3848.47,333900.00,541319.00,116.00,54.83,66.92,6.41,0.55,0.23
16,Puncta >50 from Soma Center,2.14,87.43,2.21,0.35,0.54,20567.00,26365.00,9704.23,14499.50,7798.02,12542.00,5363.00,10280.00,3940.72,4227.95,213493.00,318989.00,80.00,56.00,66.88,5.94,0.56,0.12
17,Puncta 40-50 from Soma Center,0.19,87.42,29.55,0.13,0.45,4576.00,10577.00,4163.00,9532.67,3379.00,8514.00,3379.00,8514.00,554.64,842.41,12489.00,28598.00,14.00,55.78,67.03,6.17,0.60,0.00
18,Puncta 40-50 from Soma Center,0.30,87.63,23.75,0.13,0.45,3007.00,11456.00,2460.33,10736.30,1871.00,10234.00,1871.00,10234.00,464.75,522.02,7381.00,32209.00,14.00,56.60,66.68,5.27,0.67,0.01
19,Puncta 40-50 from Soma Center,1.14,87.68,24.28,0.39,0.43,10175.00,14184.00,4505.80,11365.60,4614.02,11179.10,556.00,8569.00,2907.20,1733.07,45058.00,113656.00,40.00,56.42,66.88,5.47,0.58,0.05
20,Puncta 40-50 from Soma Center,0.43,88.06,24.52,0.27,0.35,7327.00,11354.00,4974.60,10474.20,3357.23,10066.80,3179.00,9097.00,1668.93,805.57,24873.00,52371.00,22.00,56.75,67.07,5.95,0.66,0.01
21,Puncta 40-50 from Soma Center,0.95,87.96,24.92,0.33,0.39,6575.00,15923.00,3318.67,10885.10,1656.02,9650.32,877.00,8384.00,2133.69,2096.01,29868.00,97966.00,38.00,56.34,67.28,5.92,0.48,0.03
22,Puncta 40-50 from Soma Center,0.48,85.17,25.15,0.18,0.49,5200.00,12699.00,4578.60,10314.80,4271.42,9376.31,3426.00,8761.00,669.13,1477.47,22893.00,51574.00,22.00,51.83,67.32,6.02,0.53,0.01
23,Puncta >50 from Soma Center,0.54,84.93,17.30,0.14,0.55,11950.00,10516.00,8628.00,9844.14,7767.66,9983.16,4566.00,8510.00,2750.16,719.59,60396.00,68909.00,30.00,51.92,66.89,6.63,0.56,0.02
24,Puncta >50 from Soma Center,0.13,85.43,18.62,0.13,0.45,4444.00,10108.00,3376.00,9432.67,2108.00,9002.00,2108.00,9002.00,964.10,483.52,10128.00,28298.00,14.00,52.09,67.39,6.56,0.58,0.00
25,Puncta >50 from Soma Center,0.37,83.92,19.43,0.25,0.00,5826.00,12300.00,4085.60,10482.00,3005.69,9483.40,1076.00,9165.00,1792.87,1277.47,20428.00,52410.00,22.00,50.89,66.40,6.72,0.68,0.01
