,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,> 50 microns from soma center,0.02,101.12,1.10,0.00,0.00,4651.00,9260.00,4651.00,9260.00,4651.00,9260.00,4651.00,9260.00,1.00,0.00,4651.00,9260.00,6.00,60.17,81.24,2.25,0.64,0.00
1,> 50 microns from soma center,0.00,101.27,2.04,0.00,0.00,4056.00,7903.00,4056.00,7903.00,4056.00,7903.00,4056.00,7903.00,0.00,1.00,4056.00,7903.00,6.00,60.42,81.24,2.25,0.57,0.00
2,> 50 microns from soma center,0.25,101.46,2.12,0.22,0.80,4555.00,11447.00,3458.00,10857.00,2361.00,10267.00,2361.00,10267.00,1097.00,590.00,6916.00,21714.00,10.00,60.56,81.38,2.21,0.73,0.01
3,> 50 microns from soma center,0.00,101.49,2.42,0.00,0.00,3659.00,7657.00,3659.00,7657.00,3659.00,7657.00,3659.00,7657.00,0.00,1.00,3659.00,7657.00,6.00,60.42,81.51,2.24,0.70,0.00
4,> 50 microns from soma center,0.18,101.54,2.37,0.04,0.98,4849.00,9257.00,3801.50,9215.50,2754.00,9174.00,2754.00,9174.00,1047.50,41.50,7603.00,18431.00,10.00,60.69,81.37,2.65,0.58,0.00
5,> 50 microns from soma center,0.00,101.14,2.44,0.00,0.00,2244.00,7751.00,2244.00,7751.00,2244.00,7751.00,2244.00,7751.00,0.00,1.00,2244.00,7751.00,6.00,59.63,81.64,2.65,0.42,0.00
6,> 50 microns from soma center,0.00,101.11,1.91,0.00,0.00,3507.00,8057.00,3507.00,8057.00,3507.00,8057.00,3507.00,8057.00,0.00,1.00,3507.00,8057.00,6.00,59.38,81.78,3.07,0.67,0.00
7,> 50 microns from soma center,0.01,101.29,1.37,0.00,0.00,2856.00,8397.00,2856.00,8397.00,2856.00,8397.00,2856.00,8397.00,0.00,1.00,2856.00,8397.00,6.00,59.63,81.81,3.06,0.39,0.00
8,> 50 microns from soma center,2.56,101.33,1.42,0.25,0.72,8306.00,14455.00,4275.70,9352.57,3662.75,8978.29,2115.00,7994.00,1685.29,1375.45,128271.00,280577.00,102.00,60.83,81.00,2.74,0.43,0.11
9,> 50 microns from soma center,0.04,101.70,1.87,0.00,0.00,2988.00,9152.00,2988.00,9152.00,2988.00,9152.00,2988.00,9152.00,0.00,0.00,2988.00,9152.00,6.00,61.14,81.23,2.63,0.68,0.00
10,> 50 microns from soma center,0.05,101.83,1.99,0.00,0.00,4337.00,9758.00,4337.00,9758.00,4337.00,9758.00,4337.00,9758.00,1.00,2.00,4337.00,9758.00,6.00,61.10,81.40,3.06,0.65,0.00
11,> 50 microns from soma center,0.17,101.74,1.98,0.22,0.80,8250.00,10740.00,6735.00,9586.00,5220.00,8432.00,5220.00,8432.00,1515.00,1154.00,13470.00,19172.00,10.00,60.95,81.39,3.48,0.67,0.00
12,> 50 microns from soma center,0.04,104.35,1.70,0.00,0.00,3802.00,9135.00,3802.00,9135.00,3802.00,9135.00,3802.00,9135.00,0.00,1.00,3802.00,9135.00,6.00,67.01,79.93,3.06,0.75,0.00
13,> 50 microns from soma center,0.03,104.36,1.89,0.00,0.00,5759.00,8949.00,5759.00,8949.00,5759.00,8949.00,5759.00,8949.00,1.00,1.00,5759.00,8949.00,6.00,66.88,80.06,3.06,0.61,0.00
14,> 50 microns from soma center,1.06,105.04,2.11,0.19,0.50,4969.00,11773.00,3527.58,9058.83,3557.73,8701.71,1933.00,7822.00,895.09,1068.80,42331.00,108706.00,48.00,67.28,80.60,3.47,0.51,0.04
15,> 50 microns from soma center,0.02,104.88,2.42,0.00,0.00,1950.00,7930.00,1950.00,7930.00,1950.00,7930.00,1950.00,7930.00,0.00,0.00,1950.00,7930.00,6.00,67.15,80.47,3.87,0.49,0.00
16,> 50 microns from soma center,0.02,101.82,2.24,0.00,0.00,3710.00,8176.00,3710.00,8176.00,3710.00,8176.00,3710.00,8176.00,0.00,0.00,3710.00,8176.00,6.00,61.47,81.12,3.06,0.70,0.00
17,> 50 microns from soma center,0.13,102.07,2.58,0.00,0.00,3267.00,10840.00,3267.00,10840.00,3267.00,10840.00,3267.00,10840.00,0.00,0.00,3267.00,10840.00,6.00,61.75,81.21,3.06,0.65,0.00
18,> 50 microns from soma center,0.12,102.14,2.76,0.00,0.00,3313.00,11053.00,3313.00,11053.00,3313.00,11053.00,3313.00,11053.00,0.00,1.00,3313.00,11053.00,6.00,61.62,81.38,3.31,0.68,0.00
19,> 50 microns from soma center,1.01,101.94,2.74,0.12,0.80,5185.00,13438.00,2976.55,9201.36,2513.13,8205.34,1585.00,7431.00,1103.88,1712.92,32742.00,101215.00,38.00,61.48,81.25,3.47,0.69,0.05
20,> 50 microns from soma center,0.34,101.79,3.03,0.09,0.93,4772.00,10099.00,4047.00,8440.75,3959.89,7903.60,3122.00,7666.00,606.31,969.28,16188.00,33763.00,18.00,60.55,81.77,2.66,0.55,0.01
21,> 50 microns from soma center,0.26,101.93,3.56,0.13,0.45,3044.00,10111.00,2533.33,8517.33,2063.00,7547.00,2063.00,7547.00,401.51,1135.76,7600.00,25552.00,14.00,60.68,81.84,3.06,0.66,0.01
22,> 50 microns from soma center,0.06,101.70,3.82,0.00,0.00,1598.00,8293.00,1598.00,8293.00,1598.00,8293.00,1598.00,8293.00,0.00,1.00,1598.00,8293.00,6.00,60.54,81.64,3.46,0.66,0.00
23,> 50 microns from soma center,0.19,102.08,3.80,0.00,0.00,2602.00,13926.00,2602.00,13926.00,2602.00,13926.00,2602.00,13926.00,0.00,2.00,2602.00,13926.00,6.00,60.82,81.91,3.45,0.66,0.00
24,> 50 microns from soma center,1.96,101.48,6.81,0.41,0.27,5551.00,12074.00,3042.43,9423.00,2499.17,9044.09,1035.00,7457.00,1250.47,1166.60,63891.00,197883.00,74.00,59.94,81.84,2.67,0.57,0.11
25,> 50 microns from soma center,0.00,101.43,7.31,0.00,0.00,4091.00,7961.00,4091.00,7961.00,4091.00,7961.00,4091.00,7961.00,0.00,1.00,4091.00,7961.00,6.00,60.16,81.64,2.25,0.46,0.00
