,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,> 50 microns from soma center,0.40,97.10,0.75,0.20,0.48,5494.00,17717.00,4564.00,14813.00,4782.45,14135.20,2556.00,12651.00,1191.93,1840.42,18256.00,59252.00,18.00,42.63,86.35,12.47,0.69,0.01
1,> 50 microns from soma center,0.19,64.48,1.10,0.13,0.45,6759.00,14580.00,5997.33,13038.70,5405.00,12042.00,5405.00,12042.00,565.59,1105.40,17992.00,39116.00,14.00,43.56,43.53,19.10,0.57,0.00
2,> 50 microns from soma center,0.44,113.56,1.56,0.15,0.35,9476.00,15769.00,6177.25,14326.50,4752.79,14532.40,3010.00,11955.00,2475.67,1437.48,24709.00,57306.00,18.00,58.72,95.15,19.85,0.66,0.01
3,> 50 microns from soma center,0.66,74.88,2.36,0.34,0.24,8927.00,16871.00,4652.83,14269.00,3316.84,13278.60,2247.00,11087.00,2302.45,2095.24,27917.00,85614.00,26.00,52.34,50.36,18.19,0.66,0.03
4,> 50 microns from soma center,0.16,75.16,2.54,0.13,0.45,6651.00,12047.00,5520.00,11290.70,3838.00,10859.00,3838.00,10859.00,1212.69,536.58,16560.00,33872.00,14.00,52.90,50.05,18.62,0.54,0.00
5,> 50 microns from soma center,0.51,74.96,0.58,0.29,0.56,9322.00,17301.00,4836.00,13076.70,3264.31,11861.90,1794.00,11401.00,2437.75,2078.03,33852.00,91537.00,28.00,52.68,49.59,19.60,0.63,0.02
6,> 50 microns from soma center,2.66,75.29,1.29,0.72,0.18,8040.00,20656.00,3752.36,13948.40,3663.82,13046.60,1411.00,10916.00,1554.39,2557.38,123828.00,460296.00,100.00,52.93,49.82,19.64,0.60,0.19
7,> 50 microns from soma center,0.30,76.02,2.03,0.20,0.48,6720.00,15427.00,3884.50,13020.50,2482.99,12216.20,1675.00,12072.00,1963.86,1393.00,15538.00,52082.00,18.00,53.55,50.28,19.60,0.68,0.01
8,> 50 microns from soma center,0.40,75.24,0.86,0.25,0.50,4931.00,16208.00,3994.75,13925.00,4041.27,13083.20,2822.00,12730.00,756.40,1359.84,15979.00,55700.00,18.00,51.53,51.87,17.72,0.60,0.01
9,> 50 microns from soma center,0.29,79.62,1.66,0.13,0.45,5100.00,15149.00,4137.33,13276.30,2748.00,11113.00,2748.00,11113.00,1006.48,1660.46,12412.00,39829.00,14.00,55.10,54.54,18.13,0.63,0.01
10,> 50 microns from soma center,0.79,79.28,1.57,0.26,0.21,7129.00,15787.00,4185.50,13806.00,3571.06,13513.40,2750.00,12403.00,1366.82,1130.22,33484.00,110448.00,34.00,54.52,54.63,18.16,0.49,0.02
11,> 50 microns from soma center,0.18,79.63,1.88,0.13,0.45,4338.00,12939.00,3193.67,12410.00,2128.00,12128.00,2128.00,12128.00,903.94,374.34,9581.00,37230.00,14.00,54.70,54.78,18.62,0.64,0.00
12,> 50 microns from soma center,3.55,81.04,0.70,0.34,0.55,8396.00,22897.00,4285.85,15928.70,4083.73,15068.50,987.00,11638.00,1731.82,2646.61,197149.00,732722.00,142.00,55.59,56.06,18.28,0.52,0.24
13,> 50 microns from soma center,0.66,82.57,2.27,0.30,0.49,7782.00,14293.00,3906.38,12933.40,3157.82,12828.50,2276.00,11993.00,1741.02,828.27,31251.00,103467.00,32.00,57.92,55.96,18.17,0.62,0.02
14,> 50 microns from soma center,0.68,82.36,0.86,0.07,0.94,12366.00,17185.00,5640.14,14325.00,4457.95,13465.50,1119.00,12585.00,3857.82,1431.84,39481.00,100275.00,28.00,57.35,56.26,18.13,0.62,0.03
15,> 50 microns from soma center,0.56,83.26,1.67,0.08,0.00,6438.00,16223.00,4475.40,14142.00,3576.72,13711.80,3436.00,10775.00,1072.58,1929.48,22377.00,70710.00,20.00,58.73,56.12,18.28,0.61,0.02
16,> 50 microns from soma center,0.34,83.20,1.79,0.13,0.45,5226.00,21573.00,3530.33,16606.70,2488.00,13732.00,2488.00,13732.00,1209.49,3526.25,10591.00,49820.00,14.00,57.58,57.02,18.87,0.64,0.01
17,> 50 microns from soma center,0.26,83.04,1.94,0.12,0.93,4551.00,15600.00,3283.00,14300.70,2627.00,12935.00,2627.00,12935.00,896.79,1088.99,9849.00,42902.00,14.00,57.25,56.96,19.30,0.64,0.01
18,> 50 microns from soma center,0.42,83.68,2.06,0.12,0.93,7077.00,17389.00,3714.00,16130.00,1259.00,15377.00,1259.00,15377.00,2460.44,895.94,11142.00,48390.00,14.00,58.20,57.01,19.10,0.64,0.01
19,> 50 microns from soma center,0.26,83.73,1.61,0.09,0.93,3161.00,13313.00,2471.00,12586.50,2337.00,12662.00,1513.00,11695.00,626.97,577.97,9884.00,50346.00,18.00,58.02,57.12,19.54,0.65,0.01
20,> 50 microns from soma center,0.06,77.39,1.37,0.12,0.93,5156.00,13950.00,4258.67,13731.00,3510.00,13338.00,3510.00,13338.00,680.15,278.49,12776.00,41193.00,14.00,54.07,52.07,18.84,0.47,0.00
21,> 50 microns from soma center,2.27,77.11,2.12,0.42,0.43,6800.00,18067.00,3741.63,13772.00,3832.60,13551.90,771.00,11462.00,1558.92,1608.92,119732.00,440703.00,104.00,52.34,53.45,18.69,0.59,0.15
22,> 50 microns from soma center,3.11,80.05,4.57,0.15,0.70,7959.00,18444.00,3457.74,13448.20,2984.95,13421.90,1113.00,9873.00,1577.67,2207.05,121021.00,470686.00,112.00,54.83,55.31,18.52,0.51,0.19
23,> 50 microns from soma center,0.30,80.41,4.65,0.13,0.45,8921.00,19740.00,4268.33,15268.30,1017.00,12608.00,1017.00,12608.00,3375.51,3180.89,12805.00,45805.00,14.00,55.14,55.49,18.59,0.66,0.01
24,> 50 microns from soma center,2.93,81.47,0.71,0.21,0.71,8358.00,26181.00,3749.53,15585.50,3473.31,14126.80,1253.00,11128.00,1736.92,3522.00,127484.00,529907.00,108.00,56.73,55.68,17.84,0.56,0.20
25,> 50 microns from soma center,7.65,81.59,1.25,0.24,0.74,10709.00,60516.00,5251.98,23046.30,5059.56,18715.70,937.00,12530.00,1940.68,10567.20,551458.00,2419860.00,286.00,56.85,55.48,18.61,0.49,0.67
26,> 50 microns from soma center,0.06,82.46,1.23,0.12,0.93,4333.00,14060.00,3493.33,13683.00,2749.00,12967.00,2749.00,12967.00,650.17,506.52,10480.00,41049.00,14.00,58.06,55.50,18.67,0.46,0.00
27,> 50 microns from soma center,0.41,83.12,2.20,0.20,0.48,7329.00,14428.00,5631.50,12728.50,4857.07,12485.70,4767.00,11261.00,1026.89,1128.75,22526.00,50914.00,18.00,58.71,55.77,18.77,0.65,0.01
28,> 50 microns from soma center,0.15,81.80,4.26,0.13,0.45,6998.00,11868.00,4377.67,11616.30,1248.00,11452.00,1248.00,11452.00,2374.90,180.71,13133.00,34849.00,14.00,56.28,56.30,18.79,0.51,0.00
29,> 50 microns from soma center,0.32,82.14,4.44,0.39,0.47,5976.00,17619.00,4660.00,14098.30,2062.00,11654.00,2062.00,11654.00,1837.12,2551.36,13980.00,42295.00,14.00,56.36,56.92,18.18,0.74,0.01
30,> 50 microns from soma center,0.30,74.75,5.80,0.13,0.45,4824.00,16705.00,4105.67,14940.30,3695.00,13606.00,3695.00,13606.00,509.68,1301.24,12317.00,44821.00,14.00,51.52,50.72,19.00,0.61,0.01
31,> 50 microns from soma center,0.33,74.25,16.08,0.20,0.48,4721.00,15836.00,3498.00,13712.30,3434.28,12878.00,1427.00,12586.00,1285.96,1274.49,13992.00,54849.00,18.00,50.78,50.62,19.29,0.69,0.01
32,> 50 microns from soma center,1.27,74.80,14.77,0.26,0.56,5388.00,16562.00,3351.67,14644.60,3182.07,14561.70,1142.00,12330.00,1474.80,1248.89,50275.00,219669.00,60.00,51.10,51.22,18.98,0.53,0.05
33,> 50 microns from soma center,3.94,75.81,14.98,0.50,0.35,6532.00,22243.00,3475.21,14638.90,3174.25,14126.50,724.00,10635.00,1368.83,2547.83,163335.00,688026.00,148.00,51.77,51.40,20.59,0.50,0.26
34,> 50 microns from soma center,0.30,78.03,14.73,0.12,0.93,4697.00,16674.00,4484.67,15720.70,4359.00,14044.00,4359.00,14044.00,150.99,1189.29,13454.00,47162.00,14.00,55.22,51.68,19.20,0.63,0.01
35,> 50 microns from soma center,0.14,78.59,14.78,0.02,0.99,6052.00,13358.00,5516.33,12597.00,4734.00,11267.00,4734.00,11267.00,565.63,943.71,16549.00,37791.00,14.00,55.70,51.80,19.77,0.45,0.00
36,> 50 microns from soma center,1.81,78.49,15.15,0.41,0.40,7408.00,20139.00,4561.24,15346.00,4465.65,14843.20,1989.00,12690.00,1563.07,1826.36,77541.00,260882.00,70.00,55.27,51.86,20.43,0.45,0.07
37,> 50 microns from soma center,0.20,79.27,16.24,0.13,0.45,5996.00,15031.00,3059.67,14022.30,1215.00,12881.00,1215.00,12881.00,2098.93,882.74,9179.00,42067.00,14.00,55.85,52.92,19.09,0.59,0.00
38,> 50 microns from soma center,0.26,80.35,15.54,0.13,0.45,7371.00,16880.00,5463.67,14108.00,3926.00,12703.00,3926.00,12703.00,1430.50,1960.16,16391.00,42324.00,14.00,56.52,53.82,19.10,0.65,0.01
39,> 50 microns from soma center,0.39,80.53,14.85,0.13,0.45,5497.00,22511.00,4631.00,16432.00,3760.00,13105.00,3760.00,13105.00,709.14,4304.91,13893.00,49296.00,14.00,56.86,53.45,19.89,0.68,0.01
40,> 50 microns from soma center,0.70,80.49,15.12,0.53,0.21,6101.00,17824.00,4412.14,14767.00,4366.09,13909.70,1789.00,12378.00,1339.18,1708.45,30885.00,103369.00,28.00,56.65,53.44,20.34,0.61,0.03
41,> 50 microns from soma center,0.44,77.95,16.42,0.13,0.45,7403.00,16100.00,5585.00,14944.70,2409.00,12856.00,2409.00,12856.00,2253.61,1479.69,16755.00,44834.00,14.00,52.76,54.14,19.03,0.67,0.01
42,> 50 microns from soma center,0.81,80.82,16.60,0.46,0.39,8862.00,15161.00,4689.67,13318.60,3160.41,12515.00,2880.00,11791.00,2085.05,1149.54,42207.00,119867.00,34.00,56.96,54.20,18.72,0.57,0.03
43,> 50 microns from soma center,0.33,81.13,15.58,0.15,0.62,7773.00,16966.00,4478.00,13857.60,3472.56,13040.40,1141.00,12930.00,2351.18,1557.28,22390.00,69288.00,22.00,57.34,54.15,19.01,0.74,0.01
44,> 50 microns from soma center,0.14,81.26,16.37,0.39,0.47,3731.00,13547.00,3137.00,12990.30,2824.00,12264.00,2824.00,12264.00,420.23,537.35,9411.00,38971.00,14.00,57.24,54.19,19.74,0.82,0.00
45,> 50 microns from soma center,5.84,78.93,15.31,0.23,0.75,10628.00,20394.00,4723.51,14210.50,4166.98,13879.80,1439.00,10348.00,2080.83,2182.13,297581.00,895263.00,216.00,53.53,54.75,19.16,0.38,0.31
46,> 50 microns from soma center,0.33,83.67,16.21,0.13,0.45,7075.00,17668.00,5570.67,15128.00,4098.00,13172.00,4098.00,13172.00,1215.56,1881.36,16712.00,45384.00,14.00,59.12,56.13,18.82,0.67,0.01
47,> 50 microns from soma center,3.51,80.95,27.68,0.20,0.82,7041.00,33057.00,3629.64,19063.80,3513.53,18784.50,1100.00,12645.00,1370.37,4393.31,170593.00,895997.00,132.00,54.75,56.59,18.77,0.64,0.31
48,> 50 microns from soma center,3.02,81.56,28.10,0.37,0.52,8237.00,30613.00,4275.27,18983.50,4226.00,18014.00,742.00,13084.00,1726.40,3936.73,175286.00,778325.00,122.00,55.12,56.94,19.24,0.64,0.25
49,> 50 microns from soma center,1.30,83.02,27.60,0.24,0.36,5770.00,19209.00,4100.31,14887.50,4382.48,14199.30,2031.00,11665.00,1255.97,1922.84,53304.00,193538.00,46.00,57.57,56.68,19.10,0.60,0.06
