,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,30-40 microns from soma center,1.02,143.02,53.83,0.13,0.63,5132.00,11458.00,2937.25,7440.13,2732.97,6722.17,1144.00,6364.00,1290.25,1583.70,23498.00,59521.00,34.00,91.26,110.09,2.06,0.63,0.05
1,30-40 microns from soma center,0.34,144.13,54.67,0.40,0.34,1694.00,9747.00,1194.00,6995.75,1083.34,6021.70,729.00,5706.00,347.70,1613.92,4776.00,27983.00,18.00,92.15,110.80,2.16,0.78,0.01
2,30-40 microns from soma center,0.72,143.34,52.70,0.17,0.68,5039.00,8878.00,2644.33,7102.00,1904.47,6513.86,1324.00,6258.00,1285.51,951.03,15866.00,42612.00,26.00,92.53,109.44,2.62,0.72,0.04
3,30-40 microns from soma center,0.38,142.03,52.78,0.22,0.61,4049.00,6981.00,2056.50,6151.00,1266.14,5963.89,766.00,5596.00,1250.42,509.77,8226.00,24604.00,18.00,91.19,108.85,3.06,0.82,0.02
4,30-40 microns from soma center,0.76,142.99,53.39,0.20,0.67,8802.00,8063.00,4690.86,6970.86,2501.91,6667.72,778.00,5885.00,2777.73,757.81,32836.00,48796.00,30.00,91.49,109.85,2.93,0.66,0.03
5,30-40 microns from soma center,0.84,141.08,49.71,0.20,0.56,4437.00,9317.00,2648.50,6848.13,2254.95,6282.25,879.00,6133.00,1174.88,1010.68,21188.00,54785.00,34.00,90.84,107.88,3.45,0.67,0.04
6,30-40 microns from soma center,1.46,141.72,50.38,0.19,0.71,7865.00,9789.00,3815.82,8153.73,2832.27,7455.63,1955.00,6395.00,1708.03,1142.84,41974.00,89691.00,42.00,91.21,108.40,3.97,0.69,0.10
7,30-40 microns from soma center,0.33,142.32,49.91,0.39,0.47,6649.00,7262.00,4874.67,7189.00,3277.00,7076.00,3277.00,7076.00,1382.27,81.04,14624.00,21567.00,14.00,91.52,108.91,3.87,0.82,0.01
8,30-40 microns from soma center,2.11,143.51,61.93,0.40,0.44,4404.00,17063.00,2160.25,10024.30,1865.37,8980.30,669.00,6506.00,1022.71,2901.58,43205.00,200487.00,60.00,91.74,110.31,2.89,0.83,0.22
9,30-40 microns from soma center,0.45,144.70,60.61,0.35,0.53,2459.00,8126.00,2344.50,6939.00,2394.35,6891.50,2128.00,5657.00,127.66,876.50,9378.00,27756.00,18.00,92.69,111.10,2.45,0.80,0.02
10,30-40 microns from soma center,0.31,141.25,60.37,0.39,0.44,6857.00,8191.00,5277.33,6510.67,4439.00,5441.00,4439.00,5441.00,1117.69,1202.86,15832.00,19532.00,14.00,90.70,108.22,3.53,0.81,0.01
11,30-40 microns from soma center,0.31,112.21,60.57,0.22,0.61,7327.00,7711.00,5222.00,6306.25,5051.63,5961.69,1983.00,5558.00,2039.59,829.02,20888.00,25225.00,18.00,68.28,88.85,5.92,0.67,0.01
12,30-40 microns from soma center,0.45,109.91,61.91,0.10,0.94,7293.00,11075.00,4850.67,8739.67,1197.00,7071.00,1197.00,7071.00,2631.96,1701.24,14552.00,26219.00,14.00,68.49,85.73,6.21,0.75,0.02
13,30-40 microns from soma center,0.99,109.99,61.47,0.38,0.33,10612.00,8857.00,5449.38,7602.00,4036.01,7257.92,2925.00,6376.00,2408.60,848.52,43595.00,60816.00,34.00,68.49,85.81,6.73,0.60,0.04
14,30-40 microns from soma center,0.39,114.33,62.12,0.49,0.00,9744.00,9579.00,5823.67,8582.33,2488.00,7946.00,2488.00,7946.00,2990.96,713.70,17471.00,25747.00,14.00,69.71,90.39,6.58,0.84,0.02
15,30-40 microns from soma center,3.25,110.78,62.62,0.25,0.59,11189.00,14883.00,3820.92,8914.23,2953.82,8202.48,595.00,6581.00,2696.48,2173.00,99344.00,231770.00,98.00,68.93,86.46,6.83,0.53,0.21
16,30-40 microns from soma center,0.38,112.40,61.73,0.39,0.47,5262.00,10245.00,3442.00,8441.33,901.00,6736.00,901.00,6736.00,1851.93,1434.23,10326.00,25324.00,14.00,69.26,88.25,6.96,0.82,0.02
17,30-40 microns from soma center,0.30,114.42,60.63,0.39,0.44,5128.00,8306.00,4446.00,7049.00,3863.00,6179.00,3863.00,6179.00,521.16,910.44,13338.00,21147.00,14.00,68.64,91.28,6.89,0.78,0.01
18,30-40 microns from soma center,0.30,116.19,60.64,0.39,0.44,8252.00,7957.00,7666.33,7222.33,6577.00,6015.00,6577.00,6015.00,771.00,860.39,22999.00,21667.00,14.00,70.61,91.99,7.14,0.79,0.01
19,20-30 microns from soma center,1.78,116.35,62.32,0.46,0.41,4212.00,14025.00,1987.46,11258.70,1557.75,11202.30,673.00,9363.00,939.37,1390.70,25837.00,146363.00,48.00,70.40,92.36,7.06,0.71,0.13
20,20-30 microns from soma center,0.96,115.98,64.05,0.39,0.49,4925.00,12126.00,2444.71,8342.86,2110.79,7179.00,611.00,6547.00,1286.56,1904.11,17113.00,58400.00,28.00,69.38,92.68,6.99,0.77,0.06
21,30-40 microns from soma center,0.38,115.78,62.11,0.20,0.60,4877.00,7140.00,2888.00,6280.00,1718.00,5680.44,1718.00,5596.00,1304.32,658.60,11552.00,25120.00,18.00,69.63,92.23,7.08,0.67,0.01
22,30-40 microns from soma center,0.68,115.86,61.85,0.28,0.61,7948.00,12430.00,5696.20,9162.60,4420.07,7573.20,3934.00,6620.00,1420.21,2066.87,28481.00,45813.00,22.00,69.68,92.25,7.61,0.80,0.04
23,20-30 microns from soma center,0.96,117.87,63.24,0.50,0.32,8781.00,11562.00,5823.50,9276.50,5138.15,8784.75,3794.00,7698.00,1486.82,1218.92,46588.00,74212.00,32.00,70.26,94.37,7.19,0.69,0.05
